date,Number
27/03/2020,9215.586194
27/03/2020,9184.649547
27/03/2020,9156.290954
28/03/2020,9334.176675
28/03/2020,9303.240028
28/03/2020,9272.303381
28/03/2020,9241.366734
29/03/2020,9200.117871
29/03/2020,9169.181224
29/03/2020,9138.244577
29/03/2020,9115.042091
31/03/2020,9084.105444
31/03/2020,9053.168797
31/03/2020,9022.23215
31/03/2020,8991.295503
31/03/2020,8960.358856
31/03/2020,8929.422209
31/03/2020,8898.485562
30/03/2020,8883.017238
01/04/2020,8852.080591
01/04/2020,8821.143944
01/04/2020,8790.207297
01/04/2020,8759.27065
01/04/2020,8728.334002
01/04/2020,8697.397355
01/04/2020,8666.460708
01/04/2020,8635.524061
03/04/2020,8596.853252
02/04/2020,8558.182443
02/04/2020,8527.245796
02/04/2020,8496.309149
02/04/2020,8465.372502
02/04/2020,8434.435855
02/04/2020,8403.499208
05/04/2020,8364.828399
05/04/2020,8333.891752
05/04/2020,8306.822186
